Date,Change
1885 01,-39471.0
1886 01,-60072.0
1887 01,-55949.0
1888 01,-47279.0
1889 01,-49665.0
1890 01,-47593.0
1891 01,-36526.0
1892 01,-49988.0
1893 01,-66627.0
1894 01,-62703.0
1895 01,-56158.0
1896 01,-31781.0
1897 01,-23240.0
1898 01,-61044.0
1899 01,-55416.0
1900 01,-61667.0
1901 01,-50108.0
1902 01,-38611.0
1903 01,-33269.0
1904 01,-46844.0
1905 01,-54604.0
1906 01,-55706.0
1907 01,-24549.0
1908 01,-38239.0
1909 01,-34124.0
1915 01,-20767.0
1916 01,-22466.0
1917 01,-37996.0
1918 01,-25917.0
1919 01,-28106.0
1920 01,-42116.0
1921 01,-72174.0
1922 01,-35885.0
1923 01,-30233.0
1924 01,-29091.0
1925 01,-35937.0
1926 01,-34443.0
1927 01,-36896.0
1928 01,-64921.0
1929 01,-62163.0
1930 01,-45039.0
1931 01,-35078.0
1932 01,-62001.0
1933 01,-37051.0
1934 01,-62764.0
1935 01,-47362.0
1936 01,-30273.0
1937 01,-25818.0
1938 01,-36287.0
1939 01,-45217.0
1940 01,-14831.0
1941 01,-14703.0
1942 01,-50660.0
1943 01,-43489.0
1944 01,-34735.0
1945 01,-29468.0
1946 01,-34440.0
1947 01,-82623.0
1948 01,14548.0
1949 01,-67018.0
1950 01,-86487.0
1951 01,-29125.0
1952 01,-83984.0
1953 01,-42045.0
1954 01,-36494.0
1955 01,-22600.0
1956 01,-69698.0
1957 01,-115483.0
1958 01,-187719.0
1959 01,-179238.0
1960 01,-81627.0
1961 01,-65299.0
1962 01,-132292.0
1963 01,-299485.0
1964 01,-261878.0
1965 01,-52947.0
1966 01,-315818.0
1967 01,-112330.0
1968 01,-227390.0
1969 01,-535370.0
1970 01,-573520.0
1971 01,-484884.0
1972 01,-415341.0
1973 01,-428422.0
1974 01,-293584.0
1975 01,-302876.0
1976 01,-354563.0
1977 01,-329301.0
1978 01,-254019.0
1979 01,-547010.0
1980 01,-410192.0
1981 01,-498668.0
1982 01,-686108.0
1983 01,-513340.0
1984 01,-425940.0
1985 01,-798933.0
1986 01,-723092.0
1987 01,-412706.0
1988 01,-937102.0
1989 01,-276766.0
1990 01,-648994.0
1991 01,-862804.0
1992 01,-492542.0
1993 01,-286298.0
1994 01,-828433.0
1995 01,-614924.0
1996 01,-688723.0
1997 01,-711943.0
1998 01,-998299.0
1999 01,-719769.0
2000 01,-553145.0
2001 01,-873017.0
2002 01,-928008.0
2003 01,-1578574.0
2004 01,-974429.0
2005 01,-1131622.0
2006 01,-1715492.3755528908
2007 01,-1032247.5983594169
2008 01,-873305.9680916406
2009 01,-1088351.7243113506
2010 01,-1221734.8275355983
2011 01,-1653010.6177273109
2012 01,-995167.5483064096
2013 01,-1087045.951749094
2014 01,-970651.1553978341
2015 01,-1390135.707117523
2016 01,-1476168.2349067582
2017 01,-1582072.7235744447
2018 01,-1802314.813681386
2019 01,-1582885.686222669
2020 01,-1222300.4385855491
2021 01,-1497927.701545721
2022 01,-2358840.307686056
2023 01,-1028137.8835072297
