Month,Statistic Label,VALUE
1958-01-01 00:01:00,Average Maximum Temperature,7.95
1958-01-01 00:01:00,Average Minimum Temperature,2.5166666666666666
1958-01-01 00:01:00,Highest Temperature,12.875
1958-01-01 00:01:00,Lowest Temperature,-6.608333333333333
1958-01-01 00:01:00,Mean Temperature,5.258333333333334
1958-01-01 00:02:00,Average Maximum Temperature,8.858333333333333
1958-01-01 00:02:00,Average Minimum Temperature,3.4166666666666665
1958-01-01 00:02:00,Highest Temperature,12.866666666666667
1958-01-01 00:02:00,Lowest Temperature,-2.6333333333333333
1958-01-01 00:02:00,Mean Temperature,6.166666666666667
1958-01-01 00:03:00,Average Maximum Temperature,7.733333333333333
1958-01-01 00:03:00,Average Minimum Temperature,2.3916666666666666
1958-01-01 00:03:00,Highest Temperature,14.125
1958-01-01 00:03:00,Lowest Temperature,-4.383333333333334
1958-01-01 00:03:00,Mean Temperature,5.083333333333333
1958-01-01 00:04:00,Average Maximum Temperature,11.658333333333333
1958-01-01 00:04:00,Average Minimum Temperature,4.808333333333333
1958-01-01 00:04:00,Highest Temperature,18.791666666666668
1958-01-01 00:04:00,Lowest Temperature,-1.4083333333333332
1958-01-01 00:04:00,Mean Temperature,8.25
1958-01-01 00:05:00,Average Maximum Temperature,13.866666666666667
1958-01-01 00:05:00,Average Minimum Temperature,6.333333333333333
1958-01-01 00:05:00,Highest Temperature,20.625
1958-01-01 00:05:00,Lowest Temperature,1.8166666666666667
1958-01-01 00:05:00,Mean Temperature,10.125
1958-01-01 00:06:00,Average Maximum Temperature,16.166666666666668
1958-01-01 00:06:00,Average Minimum Temperature,9.658333333333333
1958-01-01 00:06:00,Highest Temperature,19.474999999999998
1958-01-01 00:06:00,Lowest Temperature,5.316666666666666
1958-01-01 00:06:00,Mean Temperature,12.941666666666668
1958-01-01 00:07:00,Average Maximum Temperature,17.991666666666667
1958-01-01 00:07:00,Average Minimum Temperature,11.283333333333333
1958-01-01 00:07:00,Highest Temperature,23.425
1958-01-01 00:07:00,Lowest Temperature,6.016666666666667
1958-01-01 00:07:00,Mean Temperature,14.658333333333333
1958-01-01 00:08:00,Average Maximum Temperature,17.966666666666665
1958-01-01 00:08:00,Average Minimum Temperature,11.775
1958-01-01 00:08:00,Highest Temperature,21.125
1958-01-01 00:08:00,Lowest Temperature,6.625
1958-01-01 00:08:00,Mean Temperature,14.891666666666666
1958-01-01 00:09:00,Average Maximum Temperature,17.566666666666666
1958-01-01 00:09:00,Average Minimum Temperature,11.141666666666666
1958-01-01 00:09:00,Highest Temperature,20.866666666666667
1958-01-01 00:09:00,Lowest Temperature,4.541666666666667
1958-01-01 00:09:00,Mean Temperature,14.383333333333333
1958-01-01 00:10:00,Average Maximum Temperature,13.833333333333334
1958-01-01 00:10:00,Average Minimum Temperature,8.266666666666667
1958-01-01 00:10:00,Highest Temperature,17.333333333333332
1958-01-01 00:10:00,Lowest Temperature,3.025
1958-01-01 00:10:00,Mean Temperature,11.083333333333334
1958-01-01 00:11:00,Average Maximum Temperature,11.1
1958-01-01 00:11:00,Average Minimum Temperature,6.199999999999999
1958-01-01 00:11:00,Highest Temperature,15.358333333333334
1958-01-01 00:11:00,Lowest Temperature,0.7333333333333333
1958-01-01 00:11:00,Mean Temperature,8.674999999999999
1958-01-01 00:12:00,Average Maximum Temperature,8.208333333333334
1958-01-01 00:12:00,Average Minimum Temperature,2.783333333333333
1958-01-01 00:12:00,Highest Temperature,12.233333333333333
1958-01-01 00:12:00,Lowest Temperature,-2.6
1958-01-01 00:12:00,Mean Temperature,5.5249999999999995
1959-01-01 00:01:00,Average Maximum Temperature,6.458333333333333
1959-01-01 00:01:00,Average Minimum Temperature,0.7416666666666667
1959-01-01 00:01:00,Highest Temperature,10.816666666666668
1959-01-01 00:01:00,Lowest Temperature,-5.966666666666666
1959-01-01 00:01:00,Mean Temperature,3.6166666666666667
1959-01-01 00:02:00,Average Maximum Temperature,9.583333333333334
1959-01-01 00:02:00,Average Minimum Temperature,4.033333333333333
1959-01-01 00:02:00,Highest Temperature,13.183333333333332
1959-01-01 00:02:00,Lowest Temperature,-2.875
1959-01-01 00:02:00,Mean Temperature,6.825
1959-01-01 00:03:00,Average Maximum Temperature,10.674999999999999
1959-01-01 00:03:00,Average Minimum Temperature,4.616666666666666
1959-01-01 00:03:00,Highest Temperature,14.491666666666667
1959-01-01 00:03:00,Lowest Temperature,0.47500000000000003
1959-01-01 00:03:00,Mean Temperature,7.666666666666667
1959-01-01 00:04:00,Average Maximum Temperature,12.316666666666668
1959-01-01 00:04:00,Average Minimum Temperature,5.2749999999999995
1959-01-01 00:04:00,Highest Temperature,15.591666666666667
1959-01-01 00:04:00,Lowest Temperature,0.25833333333333336
1959-01-01 00:04:00,Mean Temperature,8.825000000000001
1959-01-01 00:05:00,Average Maximum Temperature,16.391666666666666
1959-01-01 00:05:00,Average Minimum Temperature,7.716666666666666
1959-01-01 00:05:00,Highest Temperature,22.45
1959-01-01 00:05:00,Lowest Temperature,0.9166666666666666
1959-01-01 00:05:00,Mean Temperature,12.083333333333334
1959-01-01 00:06:00,Average Maximum Temperature,18.15833333333333
1959-01-01 00:06:00,Average Minimum Temperature,9.858333333333333
1959-01-01 00:06:00,Highest Temperature,23.825
1959-01-01 00:06:00,Lowest Temperature,4.983333333333333
1959-01-01 00:06:00,Mean Temperature,14.041666666666666
1959-01-01 00:07:00,Average Maximum Temperature,19.083333333333332
1959-01-01 00:07:00,Average Minimum Temperature,11.766666666666666
1959-01-01 00:07:00,Highest Temperature,24.416666666666668
1959-01-01 00:07:00,Lowest Temperature,6.800000000000001
1959-01-01 00:07:00,Mean Temperature,15.441666666666668
1959-01-01 00:08:00,Average Maximum Temperature,19.641666666666666
1959-01-01 00:08:00,Average Minimum Temperature,12.008333333333333
1959-01-01 00:08:00,Highest Temperature,23.59166666666667
1959-01-01 00:08:00,Lowest Temperature,6.925
1959-01-01 00:08:00,Mean Temperature,15.841666666666667
1959-01-01 00:09:00,Average Maximum Temperature,19.075
1959-01-01 00:09:00,Average Minimum Temperature,9.891666666666667
1959-01-01 00:09:00,Highest Temperature,24.708333333333332
1959-01-01 00:09:00,Lowest Temperature,5.108333333333333
1959-01-01 00:09:00,Mean Temperature,14.508333333333333
1959-01-01 00:10:00,Average Maximum Temperature,15.666666666666666
1959-01-01 00:10:00,Average Minimum Temperature,9.033333333333333
1959-01-01 00:10:00,Highest Temperature,21.941666666666666
1959-01-01 00:10:00,Lowest Temperature,2.1750000000000003
1959-01-01 00:10:00,Mean Temperature,12.366666666666667
1959-01-01 00:11:00,Average Maximum Temperature,10.391666666666666
1959-01-01 00:11:00,Average Minimum Temperature,4.3999999999999995
1959-01-01 00:11:00,Highest Temperature,14.633333333333333
1959-01-01 00:11:00,Lowest Temperature,-1.1416666666666666
1959-01-01 00:11:00,Mean Temperature,7.425
1959-01-01 00:12:00,Average Maximum Temperature,9.083333333333334
1959-01-01 00:12:00,Average Minimum Temperature,3.4916666666666667
1959-01-01 00:12:00,Highest Temperature,12.25
1959-01-01 00:12:00,Lowest Temperature,-1.3333333333333333
1959-01-01 00:12:00,Mean Temperature,6.316666666666666
1960-01-01 00:01:00,Average Maximum Temperature,7.925
1960-01-01 00:01:00,Average Minimum Temperature,2.183333333333333
1960-01-01 00:01:00,Highest Temperature,12.416666666666666
1960-01-01 00:01:00,Lowest Temperature,-3.033333333333333
1960-01-01 00:01:00,Mean Temperature,5.075
1960-01-01 00:02:00,Average Maximum Temperature,7.6000000000000005
